　　新浪教育[[微博]](http://weibo.com/u/1225314032?zw=edu)讯
按照教育部的统一部署和具体要求，上海市普通本科高校专业(类)对2017年高考[[微博]](http://weibo.com/u/1642629063?zw=edu)选考科目要求近日公布。从汇总情况看，上海市37所普通本科高校2017年共有专业(类)1096个。各本科高校依据自身办学特色和定位，以及不同学科专业人才培养需要，从思想政治、历史、地理、物理、化学、生命科学6门普通高中学业水平等级性考试科目中，分专业(类)自主提出了选考科目要求。

　　**上海理工大学[[微博]](http://weibo.com/u/1854563221?zw=edu)2017年高考选考科目要求**

　　注：相关选考科目要求适用于2017年参加上海高考的考生。

专业(类) | 选考科目 | 备注  
---|---|---  
能源与动力工程 | 物理、化学、生命科学 |  
新能源科学与工程 | 物理、化学、生命科学 |  
过程装备与控制工程 | 物理、化学、生命科学 |  
测控技术与仪器 | 物理、化学、生命科学 |  
光电信息科学与工程 | 物理、化学、生命科学 |  
电子信息工程 | 物理、化学、生命科学 |  
电子科学与技术 | 物理、化学、生命科学 |  
通信工程 | 物理、化学、生命科学 |  
自动化 | 物理、化学、生命科学 |  
计算机科学与技术 | 物理、化学、生命科学 |  
网络工程 | 物理、化学、生命科学 |  
智能科学与技术 | 物理、化学、生命科学 |  
电气工程及其自动化 | 物理、化学、生命科学 |  
光电信息科学与工程(中德合作) | 物理、化学、生命科学 |  
机械设计制造及其自动化(国际工程)(中德合作) | 物理、化学、生命科学 |  
机械设计制造及其自动化(中德合作) | 物理、化学、生命科学 |  
电气工程及其自动化(中德合作) | 物理、化学、生命科学 |  
机械设计制造及其自动化 | 物理、化学、生命科学 |  
车辆工程 | 物理、化学、生命科学 |  
机械设计制造及其自动化(中英合作) | 物理、化学、生命科学 |  
电子信息科学与技术(中英合作) | 物理、化学、生命科学 |  
材料科学与工程 | 物理、化学、生命科学 |  
材料成型及控制工程 | 物理、化学、生命科学 |  
土木工程 | 物理、化学、生命科学 |  
建筑环境与能源应用工程 | 物理、化学、生命科学 |  
环境工程 | 物理、化学、生命科学 |  
印刷工程 | 物理、化学、生命科学 |  
包装工程 | 物理、化学、生命科学 |  
工业设计 | 物理、化学、生命科学 |  
生物医学工程 | 物理、化学、生命科学 |  
假肢矫形工程 | 物理、化学、生命科学 |  
医学影像技术 | 物理、化学、生命科学 |  
医学信息工程 | 物理、化学、生命科学 |  
制药工程 | 物理、化学、生命科学 |  
食品质量与安全 | 物理、化学、生命科学 |  
食品科学与工程 | 物理、化学、生命科学 |  
数学与应用数学 | 物理、化学、生命科学 |  
应用物理学 | 物理、化学、生命科学 |  
应用化学 | 物理、化学、生命科学 |  
国际经济与贸易(中德合作) | 物理、化学、生命科学 |  
国际经济与贸易 | 物理、化学、生命科学 |  
金融学 | 物理、化学、生命科学 |  
工商管理 | 物理、化学、生命科学 |  
会计学 | 物理、化学、生命科学 |  
管理科学 | 物理、化学、生命科学 |  
信息管理与信息系统 | 物理、化学、生命科学 |  
工业工程 | 物理、化学、生命科学 |  
公共事业管理 | 物理、化学、生命科学 |  
工商管理(中美合作) | 不限 |  
英语(科技翻译) | 不限 |  
日语 | 不限 |  
德语 | 不限 |  
英语(金融与投资) (中美合作) | 不限 |  
英语(国际贸易)(中美合作) | 不限 |  
广告学 | 不限 |  
传播学 | 不限 |  
编辑出版学 | 不限 |  
产品设计 | 不限 |  
视觉传达设计 | 不限 |  
环境设计 | 不限 |  
动画 | 不限 |  
工商管理(中英合作) | 不限 |  
会展经济与管理(中英合作) | 不限 |  
  
注：2017年在沪招生的具体专业(类)请详见高校当年发布的招生章程。本次选考科目公布后，到2017年招生前高校一般不得修改。高校如有特殊原因确需修改，只能增加专业(类)选考科目范围，不能减少或更改已确定的选考科目。

　　考生若有疑问，可咨询高校招生办公室。

　　更多信息请访问：[新浪高考频道](http://edu.sina.com.cn/gaokao/)
[报考院校信息库](http://edu.sina.com.cn/college/)
[查询被高校录取可能性](http://zhiyuan.edu.sina.com.cn/?p=zhiyuan&s=query&a=report)

　　特别说明：由于各方面情况的不断调整与变化，新浪网所提供的所有考试信息仅供参考，敬请考生以权威部门公布的正式信息为准。

